# A tibble: 30 x 15
   team  experience salary points3 points2 points1 points off_rebounds def_rebounds assists steals blocks turnovers fouls efficiency
   <chr>      <dbl>  <dbl>   <int>   <int>   <int>  <int>        <int>        <int>   <int>  <int>  <int>     <int> <int>      <dbl>
 1 ATL          100   93.4     660    2337    1453   8107          832         2676    1846    645    381      1201  1432       147.
 2 BOS           63   91.9     985    2183    1536   8857          744         2698    2069    617    340      1037  1686       148.
 3 BRK           70   76.2     777    2040    1444   7855          689         2697    1664    568    382      1212  1620       167.
 4 CHI           59   92.5     565    2162    1330   7349          865         2419    1746    605    339       956  1275       139.
 5 CHO           63   88.5     808    2089    1497   8099          621         2615    1806    543    316       820  1177       142.
 6 CLE          145  127.     1030    2148    1384   8770          735         2673    1779    483    304      1020  1356       182.
 7 DAL           65   92.8     712    1754    1007   6651          521         2063    1183    507    257       674  1229       145.
 8 DEN           83   79.0     868    2351    1477   8783          872         2660    2015    543    286      1102  1475       172.
 9 DET           55  103.      631    2638    1140   8309          908         2838    1732    574    310       932  1467       136.
10 GSW          113  100.      982    2545    1455   9491          770         2869    2486    782    554      1179  1581       175.
# ... with 20 more rows
